opcode,symbol,reader,family,builder_affordance,raw_compose_mapping,mapping_fidelity,proposed_stage,status,source
47,DRAW_LINE,DrawLine,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
48,DRAW_BITMAP_FONT_TEXT_RUN,DrawBitmapFontText,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
49,DRAW_BITMAP_FONT_TEXT_RUN_ON_PATH,DrawBitmapFontTextOnPath,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
51,DRAW_ROUND_RECT,DrawRoundRect,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
52,DRAW_SECTOR,DrawSector,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
53,DRAW_TEXT_ON_PATH,DrawTextOnPath,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
54,MODIFIER_ROUNDED_CLIP_RECT,RoundedClipRectModifierOperation,Decoration,Fill; border; clip,background/border/clip/clipToBounds,Direct with modifier order preserved,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
55,MODIFIER_BACKGROUND,BackgroundModifierOperation,Decoration,Fill; border; clip,background/border/clip/clipToBounds,Direct with modifier order preserved,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
56,DRAW_OVAL,DrawOval,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
57,DRAW_TEXT_ON_CIRCLE,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
58,MODIFIER_PADDING,PaddingModifierOperation,Position and transform,Spacing; position; order; transform; baseline alignment,padding/offset/zIndex/graphicsLayer/alignBy,Direct subject to parent scope and transform units,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
59,MODIFIER_CLICK,ClickModifierOperation,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
63,THEME,Theme,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
64,CLICK_AREA,ClickArea,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
65,ROOT_CONTENT_BEHAVIOR,RootContentBehavior,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
66,DRAW_BITMAP_INT,DrawBitmapInt,Bitmap drawing,Image drawing; crop; offscreen layer,DrawScope.drawImage; graphics layer/ImageBitmap render target,Equivalent; offscreen support platform dependent,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
67,MODIFIER_HEIGHT,HeightModifierOperation,Dimensions,Width/height/min/max/fill/wrap/weight,Modifier width/height/size/sizeIn/requiredSizeIn; parent weight,Direct with unit/constraint semantics,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
80,DATA_FLOAT,FloatConstant,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
81,ANIMATED_FLOAT,FloatExpression,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
83,MODIFIER_MULTI_CLICK,MultiClickModifier,Input events,On click/double click/long click/press/release/cancel,clickable/combinedClickable/pointerInput; semantics and hit regions,Equivalent; ordered typed event handling,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
93,LAYOUT_CUSTOM,Custom,Custom host content,Host component with declared typed interface and bounds,Composable slot or registered component factory,Host-specific; cannot embed arbitrary app code in standalone rc,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
101,DATA_BITMAP,BitmapData,Images and fonts,Image/font resources; image node; bitmap font advanced,ImageBitmap; String; FontFamily; Image; custom bitmap-font renderer,Direct resources; bitmap fonts need helper,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
102,DATA_TEXT,TextData,Images and fonts,Image/font resources; image node; bitmap font advanced,ImageBitmap; String; FontFamily; Image; custom bitmap-font renderer,Direct resources; bitmap fonts need helper,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
103,ROOT_CONTENT_DESCRIPTION,RootContentDescription,Document and protocol,Document settings; theme; accessibility; diagnostics,CompositionLocal/MaterialTheme; semantics; host diagnostics; no wire-header equivalent,Infrastructure / host adapter,Foundation,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
107,MODIFIER_BORDER,BorderModifierOperation,Decoration,Fill; border; clip,background/border/clip/clipToBounds,Direct with modifier order preserved,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
108,MODIFIER_CLIP_RECT,ClipRectModifierOperation,Decoration,Fill; border; clip,background/border/clip/clipToBounds,Direct with modifier order preserved,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
123,DATA_PATH,PathData,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
124,DRAW_PATH,DrawPath,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
125,DRAW_TWEEN_PATH,DrawTweenPath,Paths,Vector paths; combine; parametric path; morph,Path; Path.combine; drawPath; path evaluation/interpolation helpers,Direct geometry; morph compatibility must be validated,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
126,MATRIX_SCALE,MatrixScale,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
127,MATRIX_TRANSLATE,MatrixTranslate,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
128,MATRIX_SKEW,MatrixSkew,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
129,MATRIX_ROTATE,MatrixRotate,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
130,MATRIX_SAVE,MatrixSave,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
131,MATRIX_RESTORE,MatrixRestore,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
132,MATRIX_SET,,Reserved/unregistered,No authoring tile,No supported mapping asserted,Exclude from active-reader denominator,Not counted,No active reader in pinned registry,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
133,DRAW_TEXT_ANCHOR,DrawTextAnchored,Text drawing,Canvas text; text on path; bitmap text,TextMeasurer/drawText; path text/bitmap glyph layout helper or nativeCanvas,Ordinary text direct; path/bitmap text helper and platform checks,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
134,COLOR_EXPRESSIONS,ColorExpression,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
135,TEXT_FROM_FLOAT,TextFromFloat,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
136,TEXT_MERGE,TextMerge,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
137,NAMED_VARIABLE,NamedVariable,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
138,COLOR_CONSTANT,ColorConstant,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
139,DRAW_CONTENT,DrawContent,Canvas state,Fill/stroke/gradient; clips; transform group; draw around content,Brush/Stroke/PathEffect; clipPath/clipRect; withTransform; drawWithContent,Equivalent canvas operations; matrix/paint state scopes preserved,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
140,DATA_INT,IntegerConstant,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
141,PLAY_SOUND,PlaySound,Sound,Advanced sound resource/effect,Host audio service; no raw Compose UI equivalent,Target-specific host effect,Advanced,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
142,REFERENCED_OPERATIONS,ReferencedOperations,Reusable components and styles,Component definitions/instances; typed arguments; content slots; shared styles,Composable functions/calls/content lambdas; forEach/items; Modifier factories,Semantic reuse via expansion initially; native patterns need conformance,First slice reuse; native macro later,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
143,DATA_BOOLEAN,BooleanConstant,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
144,INTEGER_EXPRESSION,IntegerExpression,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
145,ID_MAP,DataMapIds,Collections,Lists; records; editable numeric series,List/Map and state-aware immutable replacement or snapshot lists,Equivalent; IDs become typed data; stable item identity,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
146,ID_LIST,DataListIds,Collections,Lists; records; editable numeric series,List/Map and state-aware immutable replacement or snapshot lists,Equivalent; IDs become typed data; stable item identity,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
147,FLOAT_LIST,DataListFloat,Collections,Lists; records; editable numeric series,List/Map and state-aware immutable replacement or snapshot lists,Equivalent; IDs become typed data; stable item identity,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
148,DATA_LONG,LongConstant,Scalar state,Typed values; Local/Host/Theme data sources,remember mutableStateOf; hoisted typed parameters/State; MaterialTheme,Direct values; explicit ownership and host binding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
149,DRAW_BITMAP_SCALED,DrawBitmapScaled,Bitmap drawing,Image drawing; crop; offscreen layer,DrawScope.drawImage; graphics layer/ImageBitmap render target,Equivalent; offscreen support platform dependent,Later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
150,COMPONENT_VALUE,ComponentValue,Measurements and attributes,Measured bounds; text metrics; image dimensions; time/color channels,Layout/BoxWithConstraints/onSizeChanged; TextMeasurer; image metadata; clock provider,Helper/host context; avoid self-referential layout loops,Later core,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
151,TEXT_LOOKUP,TextLookup,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
152,DRAW_ARC,DrawArc,Drawing primitives,Canvas shapes,Canvas drawRect/drawRoundRect/drawCircle/drawOval/drawLine/drawArc(useCenter),Direct geometry; dp-to-px conversion explicit,First slice subset; later drawing,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
153,TEXT_LOOKUP_INT,TextLookupInt,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
154,DATA_MAP_LOOKUP,DataMapLookup,Expressions,Computed value; format; lookup; substring,Typed Kotlin expressions; string formatting; list/map access; color lerp,Equivalent; preserve numeric widths/coercion/rounding,First slice,Mapping review; not an implementation-coverage claim,https://github.com/androidx/androidx/blob/36dfbf59a0566d34121e31a6c495c094105124d7/compose/remote/remote-core/src/main/java/androidx/compose/remote/core/Operations.java
